id;type;name;startdate;enddate;referent_id;isvisible
104;18;"Produits laitiers Vache 2019/2020";2019-09-04;2020-02-19;11;1
105;4;"Champignons (sep 2019 / juin 2020)";2019-09-18;2020-06-24;131;1
106;19;"Terrines de porc 2019/2020";2019-10-15;2020-06-17;124;1
108;15;"Pommes-Poires 2019/2020";2019-10-16;2020-02-19;11;1
110;16;"Porc 2019/2020";2019-10-16;2020-08-30;124;1
112;10;"Lentilles Epeautre 2019/2020";2019-11-11;2020-04-08;124;1
113;12;"Œufs 2019 - Prolongation";2019-11-13;2020-01-29;179;1
114;3;"Pâtisseries de Noël 2019";2019-12-04;2020-01-29;309;1
115;14;"Pommes de terre 2019/2020";2019-12-11;2020-04-15;74;1
116;8;"Jus de pommes « Hutrel » Récolte 2019";2020-01-15;2020-01-15;549;1
117;9;"Légumes 2020";2020-01-08;2020-12-23;74;1
