id;date;from_seliste_id;to_seliste_id;exchange;value
1;2010-02-20;43;56;"Un couica";25
2;2010-02-24;43;45;"Une boite à grenouilles";25
3;2010-03-06;56;43;"Prêt d'une perceuse";15
4;2010-03-09;42;43;"Prêt de livres de recettes";25
5;2010-03-14;42;43;"Livre de cuisine";50
6;2010-03-23;45;42;"Prêt de livres du docteur Kousmine";25
7;2010-03-30;43;54;"Prêt de livre";15
8;2010-04-03;43;56;"Prêt de livre (Là-bas si j'y suis de Daniel Mermet)";10
9;2010-04-20;45;42;"Prêt d'un nettoyeur haute pression";150
10;2010-05-02;94;56;"Véritable recette du Tiramisu";5
11;2010-05-02;81;56;"Prêt de livre pour dessin";10
31;2010-07-14;43;45;"Prêt de 3 livres";30
30;2010-07-23;11;94;"Prêt de l'intégrale de 'Le cri du peuple' par Tardi et Vautrin (4 volumes)";20
32;2010-07-03;74;58;"soins à chat pendant les vacances";50
33;2010-07-24;43;45;"Coussin blanc écru";15
34;2010-08-08;103;11;"Ramassage du courrier";5
35;2010-08-11;103;11;"Ramassage du courrier";5
36;2010-08-19;103;11;"Ramassage du courrier";5
37;2010-09-05;43;45;"Coussin blanc écru (un deuxième)";15
38;2010-07-01;124;43;"Pret decapeur thermique";75
40;2010-10-17;41;80;"Copie de VHS vers un support DVD";25
41;2010-10-18;80;136;"Présence pour réception de colis ";25
42;2010-11-28;43;94;"coffret CD";130
59;2010-11-28;103;45;"2 verres";10
44;2010-11-28;43;59;"trepied photo";50
45;2010-11-28;42;43;"chemise";10
46;2010-11-28;42;59;"1 pull";15
47;2010-11-28;81;94;" 2 livres";20
48;2010-11-28;94;45;"Carnet de musique";15
49;2010-11-28;81;94;" 3 revues Psychologie  ";20
50;2010-11-28;59;42;"5 BD";75
51;2010-11-28;59;45;"livres enfant";10
52;2010-11-28;59;45;"1 matelas bébé";10
53;2010-11-28;59;91;"livres";20
54;2010-11-28;59;58;"rollers enfant";20
55;2010-11-28;59;87;"labo photo";50
56;2010-11-28;45;150;"1 bidon 5 litres vide";5
57;2010-11-26;45;42;"Cours de couture";25
58;2010-11-28;11;150;"Prêt du tome 1 de 'Les passagers du vent' par François Bourgeon";5
60;2010-11-28;41;87;"Puzzle Franklin";10
61;2010-11-28;87;58;"Pyjama enfant";10
62;2010-11-28;87;45;"Assiettes";5
63;2010-11-28;41;54;"Méthode de langue";25
64;2010-11-30;42;45;"vêtements";160
65;2010-11-30;42;41;"vêtements";25
66;2010-12-01;42;121;"vêtements";60
68;2010-11-28;91;45;"pot à fleur";5
69;2010-11-28;91;42;"2 livres";10
70;2010-11-28;91;59;"2 bouées de plongée";15
71;2011-01-05;103;45;"VERRES  A VIN";20
72;2010-11-28;11;90;"Switch réseau";150
73;2011-01-12;11;150;"Prêt des tomes 2 à 7 de 'Les passagers du vent' par François Bourgeon";30
74;2011-03-19;45;42;"Prêt d'un nettoyeur haute pression";125
75;2011-06-10;11;94;"Réparation du PC de Maria";100
76;2011-08-23;103;11;"Ramassage du courrier  4 fois";20
77;2011-08-23;103;45;"Arrosage du jardin 4 fois";40
78;2011-12-04;194;45;"Prêt de CD";25
80;2012-01-01;11;42;"Aide à installation HIFI";100
81;2012-01-01;42;11;"Invitation à déjeuner";100
82;2012-01-19;157;11;"Références peintre en batiment";15
83;2012-01-20;80;11;"Références peintre en batiment";15
84;2012-02-04;48;11;"Aide au changement de roue sur ma remorque porte-bateau";60
85;2012-02-23;43;94;"aide installation d'une imprimante";5
86;2012-03-21;11;56;"Impression en urgence";50
87;2012-04-07;11;70;"Prêt du tome 1 de 'Golden City' - Pecqueur, Malfin et Schelle";5
88;2012-04-07;11;56;"Prêt du tome 1 de 'Le cri du peuple' par Tardi et Vautrin";5
89;2012-04-07;11;56;"Prêt de 'The Look Of Love' - Diana Krall";10
90;2012-04-07;11;70;"Prêt de 'Rencontre du troisième type' - Steven Spielberg";15
91;2012-04-07;11;87;"Prêt de 'eXistenZ' - David Cronenberg";15
92;2012-04-07;11;87;"Prêt de 'Erin Brockovich' - Steven Soderbergh";15
93;2012-04-07;11;87;"Prêt de 'Hyperion' - Dan Simmons";15
94;2012-04-07;11;70;"Prêt de 'Memento' - Christopher Nolan";15
95;2012-04-07;94;11;"Prêt de 'Le lièvre de Vatanen' - Arto Paasilinna";15
96;2012-04-07;82;45;"Prêt de 'Noël Chants traditionnels'";10
97;2012-04-07;81;45;"Prêt de 'Courrier du corps' - Thérèse Bertherat et Carol Bernstein";10
